home,score,away,date,location,home_gols,away_gols
Uruguay ,2–3, Netherlands,6 July 2010,"Cape Town Stadium, Cape Town","[""Forlán  41'"", ""M. Pereira  90+2'""]","[""Van Bronckhorst  18'"", ""Sneijder  70'"", ""Robben  73'""]"
Germany ,0–1, Spain,7 July 2010,"Moses Mabhida Stadium, Durban",[],"[""Puyol  73'""]"
Uruguay ,2–3, Germany,10 July 2010,"Nelson Mandela Bay Stadium, Port Elizabeth","[""Cavani  28'"", ""Forlán  51'""]","[""Müller  19'"", ""Jansen  56'"", ""Khedira  82'""]"
Netherlands ,0–1 (a.e.t.), Spain,11 July 2010,"Soccer City, Johannesburg",[],"[""Iniesta  116'""]"
Brazil ,3–1, Croatia,12 June 2014,"Arena de São Paulo, São Paulo","[""Neymar  29', 71'(pen.)"", ""Oscar  90+1'""]","[""Marcelo  12'(o.g.)""]"
Mexico ,1–0, Cameroon,13 June 2014,"Arena das Dunas, Natal","[""Peralta  61'""]",[]
Brazil ,0–0, Mexico,17 June 2014,"Estádio Castelão, Fortaleza",[],[]
Cameroon ,0–4, Croatia,18 June 2014,"Arena da Amazônia, Manaus",[],"[""Olić  11'"", ""Perišić  48'"", ""Mandžukić  61', 73'""]"
Cameroon ,1–4, Brazil,23 June 2014,"Estádio Nacional Mané Garrincha, Brasília","[""Matip  26'""]","[""Neymar  17', 35'"", ""Fred  49'"", ""Fernandinho  84'""]"
Croatia ,1–3, Mexico,23 June 2014,"Itaipava Arena Pernambuco, Recife","[""Perišić  87'""]","[""Márquez  72'"", ""Guardado  75'"", ""Hernández  82'""]"
Spain ,1–5, Netherlands,13 June 2014,"Itaipava Arena Fonte Nova, Salvador","[""Alonso  27'(pen.)""]","[""Van Persie  44', 72'"", ""Robben  53', 80'"", ""De Vrij  64'""]"
Chile ,3–1, Australia,13 June 2014,"Arena Pantanal, Cuiabá","[""Sánchez  12'"", ""Valdivia  14'"", ""Beausejour  90+2'""]","[""Cahill  35'""]"
Australia ,2–3, Netherlands,18 June 2014,"Estádio Beira-Rio, Porto Alegre","[""Cahill  21'"", ""Jedinak  54'(pen.)""]","[""Robben  20'"", ""Van Persie  58'"", ""Depay  68'""]"
Spain ,0–2, Chile,18 June 2014,"Estádio do Maracanã, Rio de Janeiro",[],"[""Vargas  20'"", ""Aránguiz  43'""]"
Australia ,0–3, Spain,23 June 2014,"Arena da Baixada, Curitiba",[],"[""Villa  36'"", ""Torres  69'"", ""Mata  82'""]"
Netherlands ,2–0, Chile,23 June 2014,"Arena de São Paulo, São Paulo","[""Fer  77'"", ""Depay  90+2'""]",[]
Colombia ,3–0, Greece,14 June 2014,"Estádio Mineirão, Belo Horizonte","[""Armero  5'"", ""Gutiérrez  58'"", ""Rodríguez  90+3'""]",[]
Ivory Coast ,2–1, Japan,14 June 2014,"Itaipava Arena Pernambuco, Recife","[""Bony  64'"", ""Gervinho  66'""]","[""Honda  16'""]"
Colombia ,2–1, Ivory Coast,19 June 2014,"Estádio Nacional Mané Garrincha, Brasília","[""Rodríguez  64'"", ""Quintero  70'""]","[""Gervinho  73'""]"
Japan ,0–0, Greece,19 June 2014,"Arena das Dunas, Natal",[],[]
Japan ,1–4, Colombia,24 June 2014,"Arena Pantanal, Cuiabá","[""Okazaki  45+1'""]","[""Cuadrado  17'(pen.)"", ""Martínez  55', 82'"", ""Rodríguez  90'""]"
Greece ,2–1, Ivory Coast,24 June 2014,"Estádio Castelão, Fortaleza","[""Samaris  42'"", ""Samaras  90+3'(pen.)""]","[""Bony  74'""]"
Uruguay ,1–3, Costa Rica,14 June 2014,"Estádio Castelão, Fortaleza","[""Cavani  24'(pen.)""]","[""Campbell  54'"", ""Duarte  57'"", ""Ureña  84'""]"
England ,1–2, Italy,14 June 2014,"Arena da Amazônia, Manaus","[""Sturridge  37'""]","[""Marchisio  35'"", ""Balotelli  50'""]"
Uruguay ,2–1, England,19 June 2014,"Arena de São Paulo, São Paulo","[""Suárez  39', 85'""]","[""Rooney  75'""]"
Italy ,0–1, Costa Rica,20 June 2014,"Itaipava Arena Pernambuco, Recife",[],"[""Ruiz  44'""]"
Italy ,0–1, Uruguay,24 June 2014,"Arena das Dunas, Natal",[],"[""Godín  81'""]"
Costa Rica ,0–0, England,24 June 2014,"Estádio Mineirão, Belo Horizonte",[],[]
Switzerland ,2–1, Ecuador,15 June 2014,"Estádio Nacional Mané Garrincha, Brasília","[""Mehmedi  48'"", ""Seferovic  90+3'""]","[""E. Valencia  22'""]"
France ,3–0, Honduras,15 June 2014,"Estádio Beira-Rio, Porto Alegre","[""Benzema  45'(pen.), 72'"", ""Valladares  48'(o.g.)""]",[]
Switzerland ,2–5, France,20 June 2014,"Itaipava Arena Fonte Nova, Salvador","[""Džemaili  81'"", ""Xhaka  87'""]","[""Giroud  17'"", ""Matuidi  18'"", ""Valbuena  40'"", ""Benzema  67'"", ""Sissoko  73'""]"
Honduras ,1–2, Ecuador,20 June 2014,"Arena da Baixada, Curitiba","[""Costly  31'""]","[""E. Valencia  34', 65'""]"
Honduras ,0–3, Switzerland,25 June 2014,"Arena da Amazônia, Manaus",[],"[""Shaqiri  6', 31', 71'""]"
Ecuador ,0–0, France,25 June 2014,"Estádio do Maracanã, Rio de Janeiro",[],[]
Argentina ,2–1, Bosnia and Herzegovina,15 June 2014,"Estádio do Maracanã, Rio de Janeiro","[""Kolašinac  3'(o.g.)"", ""Messi  65'""]","[""Ibišević  85'""]"
Iran ,0–0, Nigeria,16 June 2014,"Arena da Baixada, Curitiba",[],[]
Argentina ,1–0, Iran,21 June 2014,"Estádio Mineirão, Belo Horizonte","[""Messi  90+1'""]",[]
Nigeria ,1–0, Bosnia and Herzegovina,21 June 2014,"Arena Pantanal, Cuiabá","[""Odemwingie  29'""]",[]
Nigeria ,2–3, Argentina,25 June 2014,"Estádio Beira-Rio, Porto Alegre","[""Musa  4', 47'""]","[""Messi  3', 45+1'"", ""Rojo  50'""]"
Bosnia and Herzegovina ,3–1, Iran,25 June 2014,"Itaipava Arena Fonte Nova, Salvador","[""Džeko  23'"", ""Pjanić  59'"", ""Vršajević  83'""]","[""Ghoochannejhad  82'""]"
Germany ,4–0, Portugal,16 June 2014,"Itaipava Arena Fonte Nova, Salvador","[""Müller  12'(pen.), 45+1', 78'"", ""Hummels  32'""]",[]
Ghana ,1–2, United States,16 June 2014,"Arena das Dunas, Natal","[""A. Ayew  82'""]","[""Dempsey  1'"", ""Brooks  86'""]"
Germany ,2–2, Ghana,21 June 2014,"Estádio Castelão, Fortaleza","[""Götze  51'"", ""Klose  71'""]","[""A. Ayew  54'"", ""Gyan  63'""]"
United States ,2–2, Portugal,22 June 2014,"Arena da Amazônia, Manaus","[""Jones  64'"", ""Dempsey  81'""]","[""Nani  5'"", ""Varela  90+5'""]"
United States ,0–1, Germany,26 June 2014,"Itaipava Arena Pernambuco, Recife",[],"[""Müller  55'""]"
Portugal ,2–1, Ghana,26 June 2014,"Estádio Nacional Mané Garrincha, Brasília","[""Boye  31'(o.g.)"", ""Ronaldo  80'""]","[""Gyan  57'""]"
Belgium ,2–1, Algeria,17 June 2014,"Estádio Mineirão, Belo Horizonte","[""Fellaini  70'"", ""Mertens  80'""]","[""Feghouli  25'(pen.)""]"
Russia ,1–1, South Korea,17 June 2014,"Arena Pantanal, Cuiabá","[""Kerzhakov  74'""]","[""Lee Keun-ho  68'""]"
Belgium ,1–0, Russia,22 June 2014,"Estádio do Maracanã, Rio de Janeiro","[""Origi  88'""]",[]
South Korea ,2–4, Algeria,22 June 2014,"Estádio Beira-Rio, Porto Alegre","[""Son Heung-min  50'"", ""Koo Ja-cheol  72'""]","[""Slimani  26'"", ""Halliche  28'"", ""Djabou  38'"", ""Brahimi  62'""]"
South Korea ,0–1, Belgium,26 June 2014,"Arena de São Paulo, São Paulo",[],"[""Vertonghen  78'""]"
Algeria ,1–1, Russia,26 June 2014,"Arena da Baixada, Curitiba","[""Slimani  60'""]","[""Kokorin  6'""]"
Brazil ,1–1 (a.e.t.), Chile,28 June 2014,"Estádio Mineirão, Belo Horizonte","[""David Luiz  18'""]","[""Sánchez  32'""]"
Colombia ,2–0, Uruguay,28 June 2014,"Estádio do Maracanã, Rio de Janeiro","[""Rodríguez  28', 50'""]",[]
Netherlands ,2–1, Mexico,29 June 2014,"Estádio Castelão, Fortaleza","[""Sneijder  88'"", ""Huntelaar  90+4'(pen.)""]","[""Dos Santos  48'""]"
Costa Rica ,1–1 (a.e.t.), Greece,29 June 2014,"Itaipava Arena Pernambuco, Recife","[""Ruiz  52'""]","[""Papastathopoulos  90+1'""]"
France ,2–0, Nigeria,30 June 2014,"Estádio Nacional Mané Garrincha, Brasília","[""Pogba  79'"", ""Yobo  90+2'(o.g.)""]",[]
Germany ,2–1 (a.e.t.), Algeria,30 June 2014,"Estádio Beira-Rio, Porto Alegre","[""Schürrle  92'"", ""Özil  120'""]","[""Djabou  120+1'""]"
Argentina ,1–0 (a.e.t.), Switzerland,1 July 2014,"Arena Corinthians, São Paulo","[""Di María  118'""]",[]
Belgium ,2–1 (a.e.t.), United States,1 July 2014,"Itaipava Arena Fonte Nova, Salvador","[""De Bruyne  93'"", ""Lukaku  105'""]","[""Green  107'""]"
France ,0–1, Germany,4 July 2014,"Estádio do Maracanã, Rio de Janeiro",[],"[""Hummels  13'""]"
Brazil ,2–1, Colombia,4 July 2014,"Estádio Castelão, Fortaleza","[""Thiago Silva  7'"", ""David Luiz  69'""]","[""Rodríguez  80'(pen.)""]"
Argentina ,1–0, Belgium,5 July 2014,"Estádio Nacional Mané Garrincha, Brasília","[""Higuaín  8'""]",[]
Netherlands ,0–0 (a.e.t.), Costa Rica,5 July 2014,"Itaipava Arena Fonte Nova, Salvador",[],[]
Brazil ,1–7, Germany,8 July 2014,"Estádio Mineirão, Belo Horizonte","[""Oscar  90'""]","[""Müller  11'"", ""Klose  23'"", ""Kroos  24', 26'"", ""Khedira  29'"", ""Schürrle  69', 79'""]"
Netherlands ,0–0 (a.e.t.), Argentina,9 July 2014,"Arena Corinthians, São Paulo",[],[]
Brazil ,0–3, Netherlands,12 July 2014,"Estádio Nacional Mané Garrincha, Brasília",[],"[""Van Persie  3'(pen.)"", ""Blind  17'"", ""Wijnaldum  90+1'""]"
Germany ,1–0 (a.e.t.), Argentina,13 July 2014,"Maracanã Stadium, Rio de Janeiro","[""Götze  113'""]",[]
Russia ,5–0, Saudi Arabia,14 June 2018 (2018-06-14),"Luzhniki Stadium, Moscow","[""Gazinsky  12'"", ""Cheryshev  43', 90+1'"", ""Dzyuba  71'"", ""Golovin  90+4'""]",[]
Egypt ,0–1, Uruguay,15 June 2018 (2018-06-15),"Central Stadium, Yekaterinburg",[],"[""Giménez  89'""]"
Russia ,3–1, Egypt,19 June 2018 (2018-06-19),"Krestovsky Stadium, Saint Petersburg","[""Fathy  47'(o.g.)"", ""Cheryshev  59'"", ""Dzyuba  62'""]","[""Salah  73'(pen.)""]"
Uruguay ,1–0, Saudi Arabia,20 June 2018 (2018-06-20),"Rostov Arena, Rostov-on-Don","[""Suárez  23'""]",[]
Uruguay ,3–0, Russia,25 June 2018 (2018-06-25),"Cosmos Arena, Samara","[""Suárez  10'"", ""Cheryshev  23'(o.g.)"", ""Cavani  90'""]",[]
Saudi Arabia ,2–1, Egypt,25 June 2018 (2018-06-25),"Volgograd Arena, Volgograd","[""Al-Faraj  45+6'(pen.)"", ""Al-Dawsari  90+5'""]","[""Salah  22'""]"
Morocco ,0–1, Iran,15 June 2018 (2018-06-15),"Krestovsky Stadium, Saint Petersburg",[],"[""Bouhaddouz  90+5'(o.g.)""]"
Portugal ,3–3, Spain,15 June 2018 (2018-06-15),"Fisht Olympic Stadium, Sochi","[""Ronaldo  4'(pen.), 44', 88'""]","[""Costa  24', 55'"", ""Nacho  58'""]"
Portugal ,1–0, Morocco,20 June 2018 (2018-06-20),"Luzhniki Stadium, Moscow","[""Ronaldo  4'""]",[]
Iran ,0–1, Spain,20 June 2018 (2018-06-20),"Kazan Arena, Kazan",[],"[""Costa  54'""]"
Iran ,1–1, Portugal,25 June 2018 (2018-06-25),"Mordovia Arena, Saransk","[""Ansarifard  90+3'(pen.)""]","[""Quaresma  45'""]"
Spain ,2–2, Morocco,25 June 2018 (2018-06-25),"Kaliningrad Stadium, Kaliningrad","[""Isco  19'"", ""Aspas  90+1'""]","[""Boutaïb  14'"", ""En-Nesyri  81'""]"
France ,2–1, Australia,16 June 2018 (2018-06-16),"Kazan Arena, Kazan","[""Griezmann  58'(pen.)"", ""Behich  81'(o.g.)""]","[""Jedinak  62'(pen.)""]"
Peru ,0–1, Denmark,16 June 2018 (2018-06-16),"Mordovia Arena, Saransk",[],"[""Poulsen  59'""]"
Denmark ,1–1, Australia,21 June 2018 (2018-06-21),"Cosmos Arena, Samara","[""Eriksen  7'""]","[""Jedinak  38'(pen.)""]"
France ,1–0, Peru,21 June 2018 (2018-06-21),"Central Stadium, Yekaterinburg","[""Mbappé  34'""]",[]
Denmark ,0–0, France,26 June 2018 (2018-06-26),"Luzhniki Stadium, Moscow",[],[]
Australia ,0–2, Peru,26 June 2018 (2018-06-26),"Fisht Olympic Stadium, Sochi",[],"[""Carrillo  18'"", ""Guerrero  50'""]"
Argentina ,1–1, Iceland,16 June 2018 (2018-06-16),"Otkritie Arena, Moscow","[""Agüero  19'""]","[""Finnbogason  23'""]"
Croatia ,2–0, Nigeria,16 June 2018 (2018-06-16),"Kaliningrad Stadium, Kaliningrad","[""Etebo  32'(o.g.)"", ""Modrić  71'(pen.)""]",[]
Argentina ,0–3, Croatia,21 June 2018 (2018-06-21),"Nizhny Novgorod Stadium, Nizhny Novgorod",[],"[""Rebić  53'"", ""Modrić  80'"", ""Rakitić  90+1'""]"
Nigeria ,2–0, Iceland,22 June 2018 (2018-06-22),"Volgograd Arena, Volgograd","[""Musa  49', 75'""]",[]
Nigeria ,1–2, Argentina,26 June 2018 (2018-06-26),"Krestovsky Stadium, Saint Petersburg","[""Moses  51'(pen.)""]","[""Messi  14'"", ""Rojo  86'""]"
Iceland ,1–2, Croatia,26 June 2018 (2018-06-26),"Rostov Arena, Rostov-on-Don","[""Sigurðsson  76'(pen.)""]","[""Badelj  53'"", ""Perišić  90'""]"
Costa Rica ,0–1, Serbia,17 June 2018 (2018-06-17),"Cosmos Arena, Samara",[],"[""Kolarov  56'""]"
Brazil ,1–1, Switzerland,17 June 2018 (2018-06-17),"Rostov Arena, Rostov-on-Don","[""Coutinho  20'""]","[""Zuber  50'""]"
Brazil ,2–0, Costa Rica,22 June 2018 (2018-06-22),"Krestovsky Stadium, Saint Petersburg","[""Coutinho  90+1'"", ""Neymar  90+7'""]",[]
Serbia ,1–2, Switzerland,22 June 2018 (2018-06-22),"Kaliningrad Stadium, Kaliningrad","[""Mitrović  5'""]","[""Xhaka  52'"", ""Shaqiri  90'""]"
Serbia ,0–2, Brazil,27 June 2018 (2018-06-27),"Otkritie Arena, Moscow",[],"[""Paulinho  36'"", ""Thiago Silva  68'""]"
Switzerland ,2–2, Costa Rica,27 June 2018 (2018-06-27),"Nizhny Novgorod Stadium, Nizhny Novgorod","[""Džemaili  31'"", ""Drmić  88'""]","[""Waston  56'"", ""Sommer  90+3'(o.g.)""]"
Germany ,0–1, Mexico,17 June 2018 (2018-06-17),"Luzhniki Stadium, Moscow",[],"[""Lozano  35'""]"
Sweden ,1–0, South Korea,18 June 2018 (2018-06-18),"Nizhny Novgorod Stadium, Nizhny Novgorod","[""Granqvist  65'(pen.)""]",[]
South Korea ,1–2, Mexico,23 June 2018 (2018-06-23),"Rostov Arena, Rostov-on-Don","[""Son Heung-min  90+3'""]","[""Vela  26'(pen.)"", ""Hernández  66'""]"
Germany ,2–1, Sweden,23 June 2018 (2018-06-23),"Fisht Olympic Stadium, Sochi","[""Reus  48'"", ""Kroos  90+5'""]","[""Toivonen  32'""]"
South Korea ,2–0, Germany,27 June 2018 (2018-06-27),"Kazan Arena, Kazan","[""Kim Young-gwon  90+4'"", ""Son Heung-min  90+6'""]",[]
Mexico ,0–3, Sweden,27 June 2018 (2018-06-27),"Central Stadium, Yekaterinburg",[],"[""Augustinsson  50'"", ""Granqvist  62'(pen.)"", ""Álvarez  74'(o.g.)""]"
Belgium ,3–0, Panama,18 June 2018 (2018-06-18),"Fisht Olympic Stadium, Sochi","[""Mertens  47'"", ""Lukaku  69', 75'""]",[]
Tunisia ,1–2, England,18 June 2018 (2018-06-18),"Volgograd Arena, Volgograd","[""Sassi  35'(pen.)""]","[""Kane  11', 90+1'""]"
Belgium ,5–2, Tunisia,23 June 2018 (2018-06-23),"Otkritie Arena, Moscow","[""E. Hazard  6'(pen.), 51'"", ""Lukaku  16', 45+3'"", ""Batshuayi  90'""]","[""Bronn  18'"", ""Khazri  90+3'""]"
England ,6–1, Panama,24 June 2018 (2018-06-24),"Nizhny Novgorod Stadium, Nizhny Novgorod","[""Stones  8', 40'"", ""Kane  22'(pen.), 45+1'(pen.), 62'"", ""Lingard  36'""]","[""Baloy  78'""]"
England ,0–1, Belgium,28 June 2018 (2018-06-28),"Kaliningrad Stadium, Kaliningrad",[],"[""Januzaj  51'""]"
Panama ,1–2, Tunisia,28 June 2018 (2018-06-28),"Mordovia Arena, Saransk","[""Meriah  33'(o.g.)""]","[""F. Ben Youssef  51'"", ""Khazri  66'""]"
Colombia ,1–2, Japan,19 June 2018 (2018-06-19),"Mordovia Arena, Saransk","[""Quintero  39'""]","[""Kagawa  6'(pen.)"", ""Osako  73'""]"
Poland ,1–2, Senegal,19 June 2018 (2018-06-19),"Otkritie Arena, Moscow","[""Krychowiak  86'""]","[""Cionek  37'(o.g.)"", ""Niang  60'""]"
Japan ,2–2, Senegal,24 June 2018 (2018-06-24),"Central Stadium, Yekaterinburg","[""Inui  34'"", ""Honda  78'""]","[""Mané  11'"", ""Wagué  71'""]"
Poland ,0–3, Colombia,24 June 2018 (2018-06-24),"Kazan Arena, Kazan",[],"[""Mina  40'"", ""Falcao  70'"", ""Ju. Cuadrado  75'""]"
Japan ,0–1, Poland,28 June 2018 (2018-06-28),"Volgograd Arena, Volgograd",[],"[""Bednarek  59'""]"
Senegal ,0–1, Colombia,28 June 2018 (2018-06-28),"Cosmos Arena, Samara",[],"[""Mina  74'""]"
France ,4–3, Argentina,30 June 2018 (2018-06-30),"Kazan Arena, Kazan","[""Griezmann  13'(pen.)"", ""Pavard  57'"", ""Mbappé  64', 68'""]","[""Di María  41'"", ""Mercado  48'"", ""Agüero  90+3'""]"
Uruguay ,2–1, Portugal,30 June 2018 (2018-06-30),"Fisht Olympic Stadium, Sochi","[""Cavani  7', 62'""]","[""Pepe  55'""]"
Spain ,1–1 (a.e.t.), Russia,1 July 2018 (2018-07-01),"Luzhniki Stadium, Moscow","[""Ignashevich  12'(o.g.)""]","[""Dzyuba  41'(pen.)""]"
Croatia ,1–1 (a.e.t.), Denmark,1 July 2018 (2018-07-01),"Nizhny Novgorod Stadium, Nizhny Novgorod","[""Mandžukić  4'""]","[""M. Jørgensen  1'""]"
Brazil ,2–0, Mexico,2 July 2018 (2018-07-02),"Cosmos Arena, Samara","[""Neymar  51'"", ""Firmino  88'""]",[]
Belgium ,3–2, Japan,2 July 2018 (2018-07-02),"Rostov Arena, Rostov-on-Don","[""Vertonghen  69'"", ""Fellaini  74'"", ""Chadli  90+4'""]","[""Haraguchi  48'"", ""Inui  52'""]"
Sweden ,1–0, Switzerland,3 July 2018 (2018-07-03),"Krestovsky Stadium, Saint Petersburg","[""Forsberg  66'""]",[]
Colombia ,1–1 (a.e.t.), England,3 July 2018 (2018-07-03),"Otkritie Arena, Moscow","[""Mina  90+3'""]","[""Kane  57'(pen.)""]"
Uruguay ,0–2, France,6 July 2018 (2018-07-06),"Nizhny Novgorod Stadium, Nizhny Novgorod",[],"[""Varane  40'"", ""Griezmann  61'""]"
Brazil ,1–2, Belgium,6 July 2018 (2018-07-06),"Kazan Arena, Kazan","[""Renato Augusto  76'""]","[""Fernandinho  13'(o.g.)"", ""De Bruyne  31'""]"
Sweden ,0–2, England,7 July 2018 (2018-07-07),"Cosmos Arena, Samara",[],"[""Maguire  30'"", ""Alli  59'""]"
Russia ,2–2 (a.e.t.), Croatia,7 July 2018 (2018-07-07),"Fisht Olympic Stadium, Sochi","[""Cheryshev  31'"", ""Fernandes  115'""]","[""Kramarić  39'"", ""Vida  101'""]"
France ,1–0, Belgium,10 July 2018 (2018-07-10),"Krestovsky Stadium, Saint Petersburg","[""Umtiti  51'""]",[]
Croatia ,2–1 (a.e.t.), England,11 July 2018 (2018-07-11),"Luzhniki Stadium, Moscow","[""Perišić  68'"", ""Mandžukić  109'""]","[""Trippier  5'""]"
Belgium ,2–0, England,14 July 2018 (2018-07-14),"Krestovsky Stadium, Saint Petersburg","[""Meunier  4'"", ""E. Hazard  82'""]",[]
France ,4–2, Croatia,15 July 2018 (2018-07-15),"Luzhniki Stadium, Moscow","[""Mandžukić  18'(o.g.)"", ""Griezmann  38'(pen.)"", ""Pogba  59'"", ""Mbappé  65'""]","[""Perišić  28'"", ""Mandžukić  69'""]"
